layer,position,p10,p50,p90,mean,std
6,18,0.7820551633834839,2.599938154220581,5.975609493255615,3.0285673266649247,2.1377118419396837
6,19,0.6477695226669312,2.430095672607422,5.621363925933837,2.8380298581057124,2.0598737201727952
6,20,0.7110408782958985,2.4251840114593506,5.618769073486328,2.862249301092492,2.055970914829827
6,21,0.6084877967834472,2.2590320110321045,5.695688915252685,2.7876006770465107,2.1538958498928173
6,22,0.5770208835601808,2.2094786167144775,5.43489294052124,2.6712385683920647,2.0727264614265457
6,23,0.5826473712921143,2.176914930343628,5.409358596801757,2.676691252324316,2.08560135957004
6,24,0.5426017761230469,2.02911639213562,5.189684200286864,2.5679618411262832,2.0507777149597852
6,25,0.5136411666870118,2.0627474784851074,5.222426986694336,2.5374324166940316,2.0113051820977885
6,26,0.4599126100540161,2.0523228645324707,5.336903619766235,2.5630547247661486,2.0948563916653424
6,27,0.47774333953857434,1.9651885032653809,5.362483310699463,2.561456452326642,2.1008616112403256
6,28,0.4710019111633301,2.002928614616394,5.363474655151367,2.5628374555044706,2.091020445223296
6,29,0.49806830883026126,2.037593722343445,5.36434097290039,2.5544375878572465,2.05766117082955
6,30,0.4358214616775514,1.9274296760559082,5.169534873962402,2.4694987648559943,2.0531736545697843
6,31,0.39577918052673344,1.7860093116760254,5.052331066131591,2.356774546504021,2.080593104224601
6,32,0.3211842060089112,1.7844864130020142,5.040799856185913,2.3318919762306742,2.0310187391517407
6,33,0.2271046161651612,1.778299331665039,5.10935115814209,2.3336001991728943,2.073236466940065
6,34,0.3817262649536133,1.8875741958618164,5.322846508026123,2.4639787429571154,2.086021530531283
6,35,0.33827829360961925,1.7418503761291504,5.114464378356932,2.337308776113722,2.0783376262842514
6,36,0.2995464801788331,1.7158870697021484,5.042077732086182,2.289439693821801,2.053189280040251
6,37,0.2609444618225099,1.704468011856079,4.9890389919281,2.2749174032608668,2.0828124269342485
6,38,0.26413302421569823,1.653592586517334,4.917403697967528,2.244421559141742,2.040410182028369
6,39,0.18556041717529304,1.7610082626342773,5.291211223602294,2.3591744262973466,2.138652744497451
7,0,11.152105212211609,22.53561043739319,37.38126125335693,24.175731550653776,9.89592847832668
7,1,2.3843812942504883,6.827906131744385,13.40123462677002,7.647637649112277,5.144463684862441
7,2,2.30642352104187,6.395187616348267,11.551838207244872,6.796554572251108,3.9797260850311504
7,3,2.424222707748413,6.121544361114502,11.23612422943115,6.701021394199795,4.194525438713711
7,4,2.0751625061035157,5.35036563873291,10.465434646606445,6.067709719969167,4.088616239645637
7,5,1.987446117401123,5.164608478546143,10.11262798309326,5.942838057643837,4.159224118165524
7,6,1.9389226436614992,4.941396713256836,9.689525508880614,5.708221971028381,4.00827259640727
7,7,2.034251117706299,4.910575866699219,9.855293560028075,5.793780863351292,4.159997814554728
7,8,1.8296953678131105,4.77588415145874,9.96170072555542,5.63881823145681,4.267038734015238
7,9,1.742833423614502,4.680115699768066,9.771028804779052,5.546480563051171,4.2410804813926966
7,10,1.816782331466675,4.55237340927124,9.597440719604492,5.508102067973879,4.2288970468844385
7,11,1.6427056312561035,4.409870147705078,9.557676792144775,5.362015025566022,4.194438186544084
